# mu- N -> HNL X isoscalar cross section, MadGraph5 + CT18NNLO (lhaid 14000), Majorana HNL, U_mu^2=1.
# Process: mu- p > n1 j (CC, W-exchange via V_muN), fixed target, sigma_iso=(sigma_p+sigma_n)/2.
# columns: ebeam1[GeV]  mN[GeV]  sigma_iso[pb]  err[pb]  sigma_proton[pb]  sigma_neutron[pb]
     50.0000    0.100   7.234900e-02   2.9744e-04   1.048300e-01   3.986800e-02
     50.0000    0.500   6.988700e-02   2.7669e-04   1.019100e-01   3.786400e-02
     50.0000    1.000   6.185800e-02   2.9771e-04   9.032700e-02   3.338900e-02
     50.0000    2.000   4.007150e-02   2.1469e-04   5.993100e-02   2.021200e-02
     50.0000    3.000   1.928810e-02   1.0013e-04   2.975500e-02   8.821200e-03
     50.0000    5.000   1.447035e-03   6.0960e-06   2.376400e-03   5.176700e-04
     50.0000    7.000   5.739900e-07   2.3821e-09   9.978100e-07   1.501700e-07
    100.0000    0.100   2.212550e-01   8.4625e-04   3.071000e-01   1.354100e-01
    100.0000    0.500   2.167100e-01   8.1888e-04   3.016500e-01   1.317700e-01
    100.0000    1.000   2.065100e-01   8.1289e-04   2.895800e-01   1.234400e-01
    100.0000    2.000   1.648045e-01   5.5542e-04   2.346000e-01   9.500900e-02
    100.0000    3.000   1.159750e-01   3.9669e-04   1.689500e-01   6.300000e-02
    100.0000    5.000   4.098400e-02   1.4115e-04   6.235500e-02   1.961300e-02
    100.0000    7.000   8.012200e-03   3.3451e-05   1.279700e-02   3.227400e-03
    100.0000   10.000   4.690550e-05   2.1711e-07   8.045500e-05   1.335600e-05
    200.0000    0.100   5.407150e-01   2.5525e-03   7.349700e-01   3.464600e-01
    200.0000    0.500   5.358650e-01   2.3827e-03   7.291300e-01   3.426000e-01
    200.0000    1.000   5.148650e-01   2.9964e-03   7.012700e-01   3.284600e-01
    200.0000    2.000   4.586750e-01   1.7811e-03   6.293400e-01   2.880100e-01
    200.0000    3.000   3.779600e-01   1.1625e-03   5.287500e-01   2.271700e-01
    200.0000    5.000   2.225400e-01   6.9025e-04   3.214700e-01   1.236100e-01
    200.0000    7.000   1.061460e-01   3.0854e-04   1.588500e-01   5.344200e-02
    200.0000   10.000   2.154230e-02   1.0081e-04   3.388500e-02   9.199600e-03
    200.0000   14.000   4.374250e-04   1.8662e-06   7.383100e-04   1.365400e-04
    350.0000    0.100   1.016500e+00   5.7583e-03   1.355100e+00   6.779000e-01
    350.0000    0.500   1.001865e+00   4.7884e-03   1.329400e+00   6.743300e-01
    350.0000    1.000   9.922650e-01   4.9884e-03   1.330100e+00   6.544300e-01
    350.0000    2.000   9.125550e-01   3.1876e-03   1.230000e+00   5.951100e-01
    350.0000    3.000   8.071900e-01   2.4737e-03   1.102700e+00   5.116800e-01
    350.0000    5.000   5.801500e-01   2.1514e-03   8.102000e-01   3.501000e-01
    350.0000    7.000   3.694250e-01   1.3004e-03   5.310000e-01   2.078500e-01
    350.0000   10.000   1.544170e-01   5.1007e-04   2.308200e-01   7.801400e-02
    350.0000   14.000   2.892250e-02   1.1279e-04   4.569900e-02   1.214600e-02
    350.0000   20.000   2.078200e-04   8.8501e-07   3.535500e-04   6.209000e-05
    500.0000    0.100   1.475600e+00   7.3373e-03   1.939200e+00   1.012000e+00
    500.0000    0.500   1.479000e+00   6.9963e-03   1.951600e+00   1.006400e+00
    500.0000    1.000   1.454480e+00   7.8698e-03   1.930800e+00   9.781600e-01
    500.0000    2.000   1.368085e+00   7.8535e-03   1.825400e+00   9.107700e-01
    500.0000    3.000   1.247420e+00   4.6598e-03   1.683800e+00   8.110400e-01
    500.0000    5.000   9.613300e-01   3.5198e-03   1.320700e+00   6.019600e-01
    500.0000    7.000   6.925350e-01   1.7795e-03   9.759800e-01   4.090900e-01
    500.0000   10.000   3.684300e-01   1.5892e-03   5.376900e-01   1.991700e-01
    500.0000   14.000   1.186260e-01   3.9736e-04   1.810700e-01   5.618200e-02
    500.0000   20.000   8.293100e-03   3.8580e-05   1.352500e-02   3.061200e-03
    500.0000   25.000   1.007075e-04   4.2121e-07   1.723400e-04   2.907500e-05
    750.0000    0.100   2.257750e+00   8.7373e-03   2.965600e+00   1.549900e+00
    750.0000    0.500   2.248150e+00   1.2527e-02   2.951600e+00   1.544700e+00
    750.0000    1.000   2.211350e+00   1.4322e-02   2.906000e+00   1.516700e+00
    750.0000    2.000   2.111700e+00   8.6416e-03   2.789400e+00   1.434000e+00
    750.0000    3.000   1.968850e+00   5.3319e-03   2.628600e+00   1.309100e+00
    750.0000    5.000   1.633200e+00   6.0020e-03   2.218300e+00   1.048100e+00
    750.0000    7.000   1.278460e+00   4.1463e-03   1.767500e+00   7.894200e-01
    750.0000   10.000   8.126150e-01   2.8008e-03   1.156700e+00   4.685300e-01
    750.0000   14.000   3.763650e-01   1.4223e-03   5.558800e-01   1.968500e-01
