M_GeV,U2_total_min,U2_total_max
1.000000e-01,nan,nan
1.321180e-01,nan,nan
1.745517e-01,nan,nan
2.306143e-01,nan,nan
3.046831e-01,nan,nan
4.000000e-01,2.340000e-09,8.620000e-09
4.025413e-01,nan,nan
5.318296e-01,1.573869e-09,2.981059e-08
7.026428e-01,3.747019e-10,4.060258e-08
9.283178e-01,1.386204e-10,4.990233e-08
1.226475e+00,9.288046e-11,5.670726e-08
1.620395e+00,7.030112e-11,6.214280e-08
2.140834e+00,5.321085e-11,6.019655e-08
2.828427e+00,4.027524e-11,5.154434e-08
3.736862e+00,3.048429e-11,4.413573e-08
4.937069e+00,2.307352e-11,2.952955e-08
6.522758e+00,1.746433e-11,1.746433e-08
8.617739e+00,1.321873e-11,9.130099e-09
1.138559e+01,1.000524e-11,4.219176e-09
1.504241e+01,7.572959e-12,1.949754e-09
1.987374e+01,5.731965e-12,1.019304e-09
2.625679e+01,4.338518e-12,4.710378e-10
3.468996e+01,3.283820e-12,2.176747e-10
4.583168e+01,2.485520e-12,2.698557e-10
6.055192e+01,1.881288e-12,2.042535e-10
8.000000e+01,1.423945e-12,1.545993e-10
