M_GeV,U2_total_min,U2_total_max
1.000000e-01,5.618582e-09,5.840675e-05
1.150000e-01,4.730000e-09,1.000000e-04
1.321180e-01,2.885329e-09,3.327559e-05
1.500000e-01,2.360000e-09,1.000000e-04
1.745517e-01,1.452526e-09,2.069455e-05
2.000000e-01,1.200000e-09,7.360000e-05
2.306143e-01,7.168235e-10,1.781510e-05
2.650000e-01,6.030000e-10,5.020000e-05
3.046831e-01,3.900209e-10,1.072699e-05
3.500000e-01,2.980000e-10,3.370000e-05
4.025413e-01,2.090660e-10,7.138964e-06
4.600000e-01,1.660000e-10,2.090000e-05
5.318296e-01,1.247919e-10,4.141186e-06
6.200000e-01,1.010000e-10,1.290000e-05
7.026428e-01,8.356738e-11,2.335960e-06
8.200000e-01,7.650000e-11,8.000000e-06
9.283178e-01,6.325206e-11,1.381530e-06
1.070000e+00,5.860000e-11,4.400000e-06
1.226475e+00,5.416067e-11,8.170629e-07
1.420000e+00,4.140000e-11,2.380000e-06
1.620395e+00,3.623686e-11,4.832263e-07
1.880000e+00,3.120000e-11,1.130000e-06
2.140834e+00,2.742764e-11,2.857891e-07
2.480000e+00,2.370000e-11,5.370000e-07
2.828427e+00,2.348539e-11,1.494064e-07
3.270000e+00,1.920000e-11,2.390000e-07
3.736862e+00,1.571319e-11,8.836175e-08
4.937069e+00,1.189330e-11,5.225879e-08
6.522758e+00,1.018384e-11,2.732014e-08
8.617739e+00,6.813622e-12,1.428258e-08
1.138559e+01,5.157224e-12,5.834282e-09
1.504241e+01,4.415962e-12,3.050079e-09
1.987374e+01,2.954553e-12,2.308601e-09
2.625679e+01,2.236298e-12,1.365350e-09
3.468996e+01,1.914869e-12,7.137853e-10
4.583168e+01,1.281166e-12,3.731567e-10
6.055192e+01,9.697135e-13,2.206919e-10
8.000000e+01,8.303340e-13,1.153745e-10
