M_GeV,U2_total_min,U2_total_max,U2_e_min,U2_e_max,U2_mu_min,U2_mu_max,U2_tau_min,U2_tau_max,seesaw_floor_total,seesaw_floor_e,seesaw_floor_mu,seesaw_floor_tau
3.470000e-01,5.110000e-09,8.700000e-09,1.980000e-10,8.150000e-09,5.820000e-11,3.690000e-09,1.530000e-10,4.870000e-09,2.901898e-10,1.414648e-10,6.137458e-11,8.413771e-11
3.500000e-01,4.570000e-09,9.110000e-09,1.780000e-10,8.530000e-09,5.240000e-11,3.870000e-09,1.370000e-10,5.100000e-09,2.877025e-10,1.402522e-10,6.084851e-11,8.341653e-11
3.800000e-01,2.640000e-09,1.060000e-08,1.070000e-10,9.930000e-09,3.200000e-11,4.500000e-09,8.150000e-11,5.930000e-09,2.649891e-10,1.291797e-10,5.604468e-11,7.683102e-11
4.200000e-01,1.500000e-09,1.230000e-08,6.580000e-11,1.150000e-08,2.060000e-11,5.220000e-09,4.940000e-11,6.890000e-09,2.397521e-10,1.168769e-10,5.070709e-11,6.951378e-11
4.600000e-01,8.980000e-10,1.360000e-08,4.640000e-11,1.270000e-08,1.550000e-11,5.770000e-09,3.370000e-11,7.610000e-09,2.189041e-10,1.067137e-10,4.629778e-11,6.346910e-11
5.000000e-01,6.010000e-10,1.430000e-08,3.850000e-11,1.340000e-08,1.380000e-11,6.070000e-09,2.700000e-11,8.010000e-09,2.013917e-10,9.817657e-11,4.259396e-11,5.839157e-11
5.318296e-01,4.560000e-10,1.450000e-08,3.580000e-11,1.360000e-08,1.300000e-11,6.150000e-09,2.440000e-11,8.110000e-09,1.893386e-10,9.230077e-11,4.004474e-11,5.489688e-11
7.026428e-01,3.747019e-10,4.060258e-08,2.706925e-11,3.804078e-08,9.808876e-12,1.723815e-08,1.862011e-11,2.273307e-08,1.433102e-10,6.986236e-11,3.030982e-11,4.155139e-11
9.283178e-01,1.386204e-10,4.990233e-08,2.048669e-11,4.675384e-08,7.424328e-12,2.118647e-08,1.394795e-11,2.793998e-08,1.084713e-10,5.287875e-11,2.294147e-11,3.145021e-11
1.226475e+00,9.288046e-11,5.670726e-08,1.550635e-11,5.312946e-08,5.619466e-12,2.407558e-08,1.055719e-11,3.175003e-08,8.210185e-11,4.002388e-11,1.736438e-11,2.380463e-11
1.620395e+00,7.030112e-11,6.214280e-08,1.173674e-11,5.822208e-08,4.253368e-12,2.638329e-08,7.990723e-12,3.479337e-08,6.214279e-11,3.029402e-11,1.314308e-11,1.801770e-11
2.140834e+00,5.321085e-11,6.019655e-08,8.883528e-12,5.639863e-08,3.219370e-12,2.555700e-08,6.048170e-12,3.370368e-08,4.703581e-11,2.292951e-11,9.947982e-12,1.363758e-11
2.828427e+00,4.027524e-11,5.154434e-08,6.723933e-12,4.829230e-08,2.436738e-12,2.188362e-08,4.577854e-12,2.885936e-08,3.560137e-11,1.735533e-11,7.529619e-12,1.032227e-11
3.736862e+00,3.048429e-11,4.413573e-08,5.089338e-12,4.135112e-08,1.844364e-12,1.873823e-08,3.464973e-12,2.471132e-08,2.694664e-11,1.313623e-11,5.699161e-12,7.812915e-12
4.937069e+00,2.307352e-11,2.952955e-08,3.852115e-12,2.766647e-08,1.395998e-12,1.253704e-08,2.622634e-12,1.653341e-08,2.039588e-11,9.942799e-12,4.313689e-12,5.913587e-12
6.522758e+00,1.746433e-11,1.746433e-08,2.915662e-12,1.636247e-08,1.056629e-12,7.414640e-09,1.985069e-12,9.778168e-09,1.543762e-11,7.525695e-12,3.265027e-12,4.475988e-12
8.617739e+00,1.321873e-11,9.130099e-09,2.206861e-12,8.554061e-09,7.997615e-13,3.876266e-09,1.502497e-12,5.111885e-09,1.168472e-11,5.696191e-12,2.471295e-12,3.387871e-12
1.138559e+01,1.000524e-11,4.219176e-09,1.670371e-12,3.952977e-09,6.053387e-13,1.791288e-09,1.137238e-12,2.362289e-09,8.844150e-12,4.311440e-12,1.870520e-12,2.564275e-12
1.504241e+01,7.572959e-12,1.949754e-09,1.264302e-12,1.826735e-09,4.581802e-13,8.277838e-10,8.607745e-13,1.091653e-09,6.694132e-12,3.263326e-12,1.415796e-12,1.940898e-12
1.987374e+01,5.731965e-12,1.019304e-09,9.569490e-13,9.549881e-10,3.467961e-13,4.327521e-10,6.515193e-13,5.706985e-10,5.066780e-12,2.470007e-12,1.071614e-12,1.469064e-12
2.625679e+01,4.338518e-12,4.710378e-10,7.243137e-13,4.413121e-10,2.624896e-13,1.999802e-10,4.931343e-13,2.637270e-10,3.835041e-12,1.869546e-12,8.111036e-13,1.111933e-12
3.468996e+01,3.283820e-12,2.176747e-10,5.482323e-13,2.039325e-10,1.986781e-13,9.241180e-11,3.732529e-13,1.218696e-10,2.902738e-12,1.415057e-12,6.139234e-13,8.416206e-13
4.583168e+01,2.485520e-12,2.698557e-10,4.149565e-13,2.528260e-10,1.503793e-13,1.145679e-10,2.825147e-13,1.510882e-10,2.197080e-12,1.071056e-12,4.646781e-13,6.370220e-13
6.055192e+01,1.881288e-12,2.042535e-10,3.140801e-13,1.913637e-10,1.138219e-13,8.671630e-11,2.138351e-13,1.143585e-10,1.662967e-12,8.106809e-13,3.517143e-13,4.821612e-13
8.000000e+01,1.423945e-12,1.545993e-10,2.377269e-13,1.448430e-10,8.615170e-14,6.563548e-11,1.618516e-13,8.655782e-11,1.258698e-12,6.136036e-13,2.662122e-13,3.649473e-13
8.500000e+01,1.340183e-12,1.248313e-10,2.237430e-13,1.169529e-10,8.056792e-14,5.301506e-11,1.518365e-13,6.991600e-11,1.184657e-12,5.775092e-13,2.505527e-13,3.434798e-13
