M_GeV,U2_total_min,U2_total_max,U2_e_min,U2_e_max,U2_mu_min,U2_mu_max,U2_tau_min,U2_tau_max,seesaw_floor_total,seesaw_floor_e,seesaw_floor_mu,seesaw_floor_tau
2.300000e-03,8.910000e-05,1.000000e-04,4.730000e-07,1.190000e-05,1.880000e-05,8.510000e-05,1.260000e-05,6.730000e-05,2.552957e-08,1.590163e-09,1.329067e-08,1.062372e-08
2.500000e-03,7.170000e-05,1.000000e-04,3.650000e-07,1.190000e-05,1.510000e-05,8.510000e-05,1.020000e-05,6.730000e-05,2.348721e-08,1.462950e-09,1.222741e-08,9.773820e-09
3.000000e-03,4.180000e-05,1.000000e-04,2.130000e-07,1.190000e-05,8.780000e-06,8.510000e-05,5.910000e-06,6.730000e-05,1.957267e-08,1.219125e-09,1.018951e-08,8.144850e-09
4.000000e-03,2.010000e-05,1.000000e-04,1.020000e-07,1.190000e-05,4.230000e-06,8.510000e-05,2.840000e-06,6.730000e-05,1.467950e-08,9.143438e-10,7.642134e-09,6.108637e-09
5.000000e-03,1.100000e-05,1.000000e-04,5.580000e-08,1.190000e-05,2.310000e-06,8.510000e-05,1.550000e-06,6.730000e-05,1.174360e-08,7.314751e-10,6.113707e-09,4.886910e-09
6.000000e-03,6.670000e-06,1.000000e-04,3.400000e-08,1.190000e-05,1.400000e-06,8.510000e-05,9.440000e-07,6.730000e-05,9.786336e-09,6.095626e-10,5.094756e-09,4.072425e-09
8.000000e-03,3.230000e-06,2.017000e-03,1.642363e-08,2.410106e-04,6.790649e-07,1.716516e-03,4.568446e-07,1.356892e-03,7.339752e-09,4.571719e-10,3.821067e-09,3.054319e-09
1.000000e-02,1.780000e-06,2.738000e-03,9.051085e-09,3.271627e-04,3.742232e-07,2.330105e-03,2.517609e-07,1.841929e-03,5.871801e-09,3.657375e-10,3.056854e-09,2.443455e-09
1.200000e-02,1.127000e-06,2.288000e-03,5.730916e-09,2.733923e-04,2.369394e-07,1.947144e-03,1.594026e-07,1.539202e-03,4.893168e-09,3.047813e-10,2.547378e-09,2.036212e-09
1.500000e-02,6.569000e-07,1.685000e-03,3.341000e-09,2.013000e-04,1.381000e-07,1.434000e-03,9.291000e-08,1.134000e-03,3.914534e-09,2.438250e-10,2.037902e-09,1.628970e-09
1.800000e-02,4.034000e-07,1.263000e-03,2.052000e-09,1.509000e-04,8.482000e-08,1.075000e-03,5.706000e-08,8.497000e-04,3.262112e-09,2.031875e-10,1.698252e-09,1.357475e-09
2.100000e-02,2.746000e-07,9.822000e-04,1.397000e-09,1.174000e-04,5.773000e-08,8.359000e-04,3.884000e-08,6.608000e-04,2.796096e-09,1.741607e-10,1.455645e-09,1.163550e-09
2.200000e-02,2.417000e-07,9.140000e-04,1.229783e-09,1.092135e-04,5.081876e-08,7.778364e-04,3.418930e-08,6.148734e-04,2.669001e-09,1.662443e-10,1.389479e-09,1.110661e-09
2.500000e-02,1.739000e-07,7.365000e-04,8.851138e-10,8.800413e-05,3.656512e-08,6.267796e-04,2.460015e-08,4.954642e-04,2.348721e-09,1.462950e-10,1.222741e-09,9.773820e-10
3.500000e-02,7.546000e-08,4.068000e-04,3.847484e-10,4.860839e-05,1.587038e-08,3.461968e-04,1.067781e-08,2.736657e-04,1.677658e-09,1.044964e-10,8.733867e-10,6.981300e-10
5.000000e-02,3.104000e-08,2.167000e-04,1.590962e-10,2.589341e-05,6.532845e-09,1.844170e-04,4.396116e-09,1.457802e-04,1.174360e-09,7.314751e-11,6.113707e-10,4.886910e-10
6.500000e-02,1.648000e-08,1.334000e-04,8.521101e-11,1.593992e-05,3.472628e-09,1.135267e-04,2.337468e-09,8.974191e-05,9.033541e-10,5.626731e-11,4.702852e-10,3.759161e-10
8.000000e-02,9.473000e-09,1.000000e-04,4.979509e-11,1.194896e-05,2.000690e-09,8.510245e-05,1.347400e-09,6.727280e-05,7.339752e-10,4.571719e-11,3.821067e-10,3.054319e-10
9.000000e-02,7.271000e-09,7.169000e-05,3.864764e-11,8.566213e-06,1.538023e-09,6.100995e-05,1.036182e-09,4.822787e-05,6.524224e-10,4.063750e-11,3.396504e-10,2.714950e-10
1.000000e-01,5.302000e-09,5.935000e-05,2.882401e-11,7.091711e-06,1.125121e-09,5.050831e-05,7.585643e-10,3.992641e-05,5.871801e-10,3.657375e-11,3.056854e-10,2.443455e-10
1.321180e-01,2.885329e-09,3.327559e-05,1.666507e-11,3.975801e-06,6.180378e-10,2.831362e-05,4.175150e-10,2.238222e-05,4.444361e-10,2.768264e-11,2.313730e-10,1.849449e-10
1.745517e-01,1.452526e-09,2.069455e-05,9.656614e-12,2.472605e-06,3.182263e-10,1.760863e-05,2.160676e-10,1.391981e-05,3.363933e-10,2.095296e-11,1.751260e-10,1.399846e-10
2.306143e-01,7.168235e-10,1.781510e-05,6.324403e-12,2.128565e-06,1.657738e-10,1.515855e-05,1.138674e-10,1.198300e-05,2.546157e-10,1.585927e-11,1.325526e-10,1.059542e-10
3.046831e-01,3.900209e-10,1.072699e-05,4.754106e-12,1.281672e-06,9.836546e-11,9.127410e-06,6.872809e-11,7.215316e-06,1.927183e-10,1.200387e-11,1.003290e-10,8.019660e-11
4.025413e-01,2.090660e-10,7.138964e-06,3.598378e-12,8.529705e-07,6.297261e-11,6.074419e-06,4.533588e-11,4.801893e-06,1.458683e-10,9.085715e-12,7.593888e-11,6.070073e-11
5.318296e-01,1.247919e-10,4.141186e-06,2.723609e-12,4.947930e-07,4.671259e-11,3.523662e-06,3.406570e-11,2.785493e-06,1.104076e-10,6.876968e-12,5.747806e-11,4.594432e-11
7.026428e-01,8.356738e-11,2.335960e-06,2.061497e-12,2.791028e-07,3.535671e-11,1.987627e-06,2.578429e-11,1.571241e-06,8.356738e-11,5.205170e-12,4.350509e-11,3.477521e-11
9.283178e-01,6.325206e-11,1.381530e-06,1.560345e-12,1.650666e-07,2.676146e-11,1.175520e-06,1.951610e-11,9.292611e-07,6.325206e-11,3.939788e-12,3.292896e-11,2.632132e-11
1.226475e+00,5.416067e-11,8.170629e-07,1.181023e-12,9.762348e-08,2.025572e-11,6.952244e-07,1.477172e-11,5.495824e-07,4.787543e-11,2.982022e-12,2.492390e-11,1.992258e-11
1.620395e+00,3.623686e-11,4.832263e-07,8.939153e-13,5.773635e-08,1.533153e-11,4.111687e-07,1.118070e-11,3.250333e-07,3.623685e-11,2.257089e-12,1.886487e-11,1.507938e-11
2.140834e+00,2.742764e-11,2.857891e-07,6.766036e-13,3.414636e-08,1.160442e-11,2.431729e-07,8.462659e-12,1.922308e-07,2.742764e-11,1.708388e-12,1.427880e-11,1.141357e-11
2.828427e+00,2.348539e-11,1.494064e-07,5.121205e-13,1.785123e-08,8.783375e-12,1.271273e-07,6.405378e-12,1.004955e-07,2.075995e-11,1.293078e-12,1.080761e-11,8.638918e-12
3.736862e+00,1.571319e-11,8.836175e-08,3.876235e-13,1.055755e-08,6.648127e-12,7.518546e-08,4.848224e-12,5.943491e-08,1.571319e-11,9.787290e-13,8.180269e-12,6.538788e-12
4.937069e+00,1.189330e-11,5.225879e-08,2.933918e-13,6.243932e-09,5.031961e-12,4.446609e-08,3.669616e-12,3.515092e-08,1.189329e-11,7.407989e-13,6.191636e-12,4.949202e-12
6.522758e+00,1.018384e-11,2.732014e-08,2.220680e-13,3.264238e-09,3.808686e-12,2.324623e-08,2.777528e-12,1.837639e-08,9.002023e-12,5.607100e-13,4.686443e-12,3.746046e-12
8.617739e+00,6.813622e-12,1.428258e-08,1.680830e-13,1.706497e-09,2.882790e-12,1.215279e-08,2.102308e-12,9.606914e-09,6.813622e-12,4.244008e-13,3.547164e-12,2.835378e-12
1.138559e+01,5.157224e-12,5.834282e-09,1.272219e-13,6.970856e-10,2.181981e-12,4.964287e-09,1.591235e-12,3.924322e-09,5.157222e-12,3.212284e-13,2.684844e-12,2.146094e-12
1.504241e+01,4.415962e-12,3.050079e-09,9.629411e-14,3.644263e-10,1.651539e-12,2.595257e-09,1.204404e-12,2.051579e-09,3.903498e-12,2.431376e-13,2.032157e-12,1.624377e-12
1.987374e+01,2.954553e-12,2.308601e-09,7.288491e-14,2.758339e-10,1.250048e-12,1.964348e-09,9.116123e-13,1.552838e-09,2.954553e-12,1.840306e-13,1.538137e-12,1.229489e-12
2.625679e+01,2.236298e-12,1.365350e-09,5.516651e-14,1.631333e-10,9.461604e-13,1.161752e-09,6.899984e-13,9.183772e-10,2.236298e-12,1.392926e-13,1.164215e-12,9.305993e-13
3.468996e+01,1.914869e-12,7.137853e-10,4.175548e-14,8.528367e-11,7.161478e-13,6.073468e-10,5.222591e-13,4.801141e-10,1.692652e-12,1.054304e-13,8.811926e-13,7.043695e-13
4.583168e+01,1.281166e-12,3.731567e-10,3.160468e-14,4.458501e-11,5.420515e-13,3.175118e-10,3.952974e-13,2.509964e-10,1.281167e-12,7.980016e-14,6.669739e-13,5.331367e-13
6.055192e+01,9.697135e-13,2.206919e-10,2.392155e-14,2.636836e-11,4.102783e-13,1.877821e-10,2.992002e-13,1.484438e-10,9.697135e-13,6.040065e-14,5.048318e-13,4.035306e-13
8.000000e+01,8.303340e-13,1.153745e-10,1.810620e-14,1.378493e-11,3.105392e-13,9.816941e-11,2.264643e-13,7.760394e-11,7.339752e-13,4.571719e-14,3.821067e-13,3.054319e-13
8.500000e+01,7.479082e-13,1.023841e-10,1.702725e-14,1.223371e-11,2.921979e-13,8.713063e-11,2.130856e-13,6.887603e-11,6.908002e-13,4.302795e-14,3.596298e-13,2.874653e-13
9.000000e+01,7.084042e-13,9.047132e-11,1.608130e-14,1.081025e-11,2.759646e-13,7.699256e-11,2.012475e-13,6.086196e-11,6.524224e-13,4.063750e-14,3.396504e-13,2.714950e-13
9.500000e+01,6.729589e-13,8.048124e-11,1.523491e-14,9.616539e-12,2.614402e-13,6.849075e-11,1.906555e-13,5.414135e-11,6.180844e-13,3.849869e-14,3.217741e-13,2.572058e-13
1.000000e+02,6.409729e-13,7.202537e-11,1.447317e-14,8.606149e-12,2.483682e-13,6.129459e-11,1.811228e-13,4.845285e-11,5.871801e-13,3.657375e-14,3.056854e-13,2.443455e-13
