M_GeV,seesaw_line_NO,seesaw_line_IO,NO_total_lower,NO_total_upper,NO_e_lower,NO_e_upper,NO_mu_lower,NO_mu_upper,NO_tau_lower,NO_tau_upper,IO_total_lower,IO_total_upper,IO_e_lower,IO_e_upper,IO_mu_lower,IO_mu_upper,IO_tau_lower,IO_tau_upper
1.000000e-01,5.871801e-10,9.921311e-10,5.964545e-09,7.502629e-05,3.391435e-11,8.955586e-06,1.276736e-09,6.374977e-05,8.620297e-10,5.038463e-05,6.746463e-09,2.221432e-05,4.022914e-10,2.073904e-05,1.153639e-10,9.434706e-06,2.886084e-10,1.242005e-05
1.035322e-01,5.671475e-10,9.582828e-10,5.458933e-09,7.278527e-05,3.208731e-11,8.688084e-06,1.193372e-09,6.184558e-05,8.063191e-10,4.887965e-05,6.246371e-09,2.131227e-05,3.822727e-10,1.989689e-05,1.102368e-10,9.051591e-06,2.737453e-10,1.191570e-05
1.071891e-01,5.477982e-10,9.255893e-10,4.990051e-09,7.063731e-05,3.034093e-11,8.431690e-06,1.114482e-09,6.002046e-05,7.535650e-10,4.743717e-05,5.778750e-09,2.045037e-05,3.631549e-10,1.909223e-05,1.053190e-10,8.685534e-06,2.595722e-10,1.143382e-05
1.109752e-01,5.291091e-10,8.940112e-10,4.555829e-09,6.857728e-05,2.867362e-11,8.185793e-06,1.039912e-09,5.827005e-05,7.036673e-10,4.605374e-05,5.341838e-09,1.962678e-05,3.449019e-10,1.832334e-05,1.006027e-10,8.335744e-06,2.460607e-10,1.097335e-05
1.148951e-01,5.110576e-10,8.635104e-10,4.154322e-09,6.660003e-05,2.708384e-11,7.949777e-06,9.695140e-10,5.658999e-05,6.565313e-10,4.472589e-05,4.933991e-09,1.883968e-05,3.274799e-10,1.758850e-05,9.608080e-11,8.001450e-06,2.331842e-10,1.053328e-05
1.189534e-01,4.936220e-10,8.340502e-10,3.783690e-09,6.470040e-05,2.557008e-11,7.723026e-06,9.031471e-10,5.497588e-05,6.120660e-10,4.345018e-05,4.553673e-09,1.808730e-05,3.108572e-10,1.688609e-05,9.174635e-11,7.681907e-06,2.209176e-10,1.011262e-05
1.231551e-01,4.767812e-10,8.055951e-10,3.442177e-09,6.287327e-05,2.413079e-11,7.504929e-06,8.406735e-10,5.342337e-05,5.701825e-10,4.222316e-05,4.199431e-09,1.736794e-05,2.950037e-10,1.621451e-05,8.759289e-11,7.376386e-06,2.092375e-10,9.710431e-06
1.275051e-01,4.605149e-10,7.781108e-10,3.128096e-09,6.111357e-05,2.276434e-11,7.294881e-06,7.819576e-10,5.192815e-05,5.307933e-10,4.104141e-05,3.869888e-09,1.667995e-05,2.798911e-10,1.557221e-05,8.361423e-11,7.084188e-06,1.981215e-10,9.325776e-06
1.320088e-01,4.448037e-10,7.515642e-10,2.839818e-09,5.941632e-05,2.146904e-11,7.092287e-06,7.268641e-10,5.048600e-05,4.938103e-10,3.990161e-05,3.563728e-09,1.602173e-05,2.654924e-10,1.495771e-05,7.980451e-11,6.804634e-06,1.875486e-10,8.957765e-06
1.366716e-01,4.296284e-10,7.259232e-10,2.575764e-09,5.777668e-05,2.024310e-11,6.896569e-06,6.752568e-10,4.909279e-05,4.591453e-10,3.880049e-05,3.279687e-09,1.539175e-05,2.517816e-10,1.436956e-05,7.615809e-11,6.537070e-06,1.774983e-10,8.605538e-06
1.414991e-01,4.149709e-10,7.011571e-10,2.334400e-09,5.618995e-05,1.908458e-11,6.707168e-06,6.269983e-10,4.774455e-05,4.267086e-10,3.773491e-05,3.016548e-09,1.478851e-05,2.387339e-10,1.380638e-05,7.266955e-11,6.280868e-06,1.679511e-10,8.268268e-06
1.464971e-01,4.008134e-10,6.772358e-10,2.114234e-09,5.465164e-05,1.799147e-11,6.523545e-06,5.819492e-10,4.643745e-05,3.964092e-10,3.670184e-05,2.773132e-09,1.421060e-05,2.263252e-10,1.326685e-05,6.933365e-11,6.035424e-06,1.588881e-10,7.945160e-06
1.516717e-01,3.871389e-10,6.541307e-10,1.913816e-09,5.315745e-05,1.696159e-11,6.345190e-06,5.399684e-10,4.516784e-05,3.681547e-10,3.569840e-05,2.548297e-09,1.365667e-05,2.145321e-10,1.274971e-05,6.614529e-11,5.800161e-06,1.502911e-10,7.635456e-06
1.570290e-01,3.739310e-10,6.318139e-10,1.731742e-09,5.170334e-05,1.599270e-11,6.171619e-06,5.009130e-10,4.393228e-05,3.418514e-10,3.472188e-05,2.340934e-09,1.312541e-05,2.033319e-10,1.225373e-05,6.309953e-11,5.574529e-06,1.421420e-10,7.338428e-06
1.625756e-01,3.611737e-10,6.102585e-10,1.566655e-09,5.028554e-05,1.508243e-11,6.002382e-06,4.646391e-10,4.272758e-05,3.174045e-10,3.376974e-05,2.149968e-09,1.261559e-05,1.927021e-10,1.177777e-05,6.019151e-11,5.358002e-06,1.344235e-10,7.053388e-06
1.683180e-01,3.488516e-10,5.894384e-10,1.417245e-09,4.890055e-05,1.422835e-11,5.837061e-06,4.310021e-10,4.155075e-05,2.947190e-10,3.283964e-05,1.974355e-09,1.212604e-05,1.826209e-10,1.132073e-05,5.741646e-11,5.150083e-06,1.271182e-10,6.779679e-06
1.742633e-01,3.369499e-10,5.693287e-10,1.282261e-09,4.754517e-05,1.342794e-11,5.675275e-06,3.998576e-10,4.039909e-05,2.736996e-10,3.192942e-05,1.813085e-09,1.165565e-05,1.730666e-10,1.088158e-05,5.476970e-11,4.950302e-06,1.202093e-10,6.516683e-06
1.804186e-01,3.254543e-10,5.499050e-10,1.160506e-09,4.621653e-05,1.267865e-11,5.516681e-06,3.710620e-10,3.927015e-05,2.542515e-10,3.103716e-05,1.665184e-09,1.120337e-05,1.640182e-10,1.045933e-05,5.224661e-11,4.758212e-06,1.136801e-10,6.263812e-06
1.867914e-01,3.143508e-10,5.311440e-10,1.050845e-09,4.491206e-05,1.197790e-11,5.360971e-06,3.444738e-10,3.816174e-05,2.362810e-10,3.016113e-05,1.529713e-09,1.076821e-05,1.554545e-10,1.005308e-05,4.984265e-11,4.573397e-06,1.075143e-10,6.020517e-06
1.933892e-01,3.036262e-10,5.130231e-10,9.522088e-10,4.362950e-05,1.132311e-11,5.207878e-06,3.199538e-10,3.707195e-05,2.196960e-10,2.929982e-05,1.405772e-09,1.034926e-05,1.473550e-10,9.661951e-06,4.755332e-11,4.395463e-06,1.016957e-10,5.786282e-06
